image,caption
../abc\AKT\26579470_page7_156_0.jpg,EMT may be induced bythe activation of AXL via the PI3K AKT pathway
../abc\AKT\26579470_page7_156_0.jpg,Loss of PTENmTOR inhibitors AKT inhibitors––PIK3CA mutationEGFR-TKIsþPI3K inhibitorsGeﬁtinibþBKM12096
../abc\AKT\26675306_page3_47_0.jpg,Rapamycin induces feedback activation of Akt signaling through anIGF-1R-dependent mechanism Oncogene 26 13 2007 1932–1940
../abc\AKT\26675306_page3_47_0.jpg,Initial testing stage 1 of the Akt inhibitor GSK690693 by the pedi-atric preclinical testing program Pediatr
../abc\AKT\26675306_page3_47_0.jpg,Testing of the Akt PKB inhibitor MK-2206 by the Pediatric Preclin-ical Testing Program Pediatr
../abc\AKT\26891293_page8_281_0.jpg,NVP-BEZ235 overcomesgeﬁtinib-acquired resistance by down-regulating PI3K AKT mTOR phosphorylation
../abc\AKT\26891293_page8_281_0.jpg,Resveratrol reducesprostate cancer growth and metastasis by inhibiting the Akt MicroRNA-21 pathway
../abc\AKT\27843613_page2_48_0.jpg,In particular AKT activation can be tied toAKT gene mutation mutations and ampliﬁcations ofPIK3CA the gene encoding the main catalytic subunitof PI3K as well as loss or reduced expression of PTEN
../abc\AKT\27994551_page3_338_0.jpg,As Akt signalingand mitochondrial biology both participate in the physiologicalbehaviors the clinical use of their corresponding inhibitors wouldcause side eﬀects in a certain extent
../abc\AKT\27994551_page3_338_0.jpg,AKT signaling in ERBB2-ampliﬁed breast cancer
../abc\AKT\27994551_page3_338_0.jpg,AKT inhibition relieves feedback suppressionof receptor tyrosine kinase expression and activity
../abc\AKT\27994551_page3_338_0.jpg,HEATR1 negatively regulates Akt to help sensitize pancreatic cancer cells tochemotherapy
../abc\AKT\27994551_page3_338_0.jpg,AKT PKB signaling: navigatingdownstream
../abc\AKT\27994551_page3_338_1.jpg,As Akt signalingand mitochondrial biology both participate in the physiologicalbehaviors the clinical use of their corresponding inhibitors wouldcause side eﬀects in a certain extent
../abc\AKT\27994551_page3_338_1.jpg,AKT signaling in ERBB2-ampliﬁed breast cancer
../abc\AKT\27994551_page3_338_1.jpg,AKT inhibition relieves feedback suppressionof receptor tyrosine kinase expression and activity
../abc\AKT\27994551_page3_338_1.jpg,HEATR1 negatively regulates Akt to help sensitize pancreatic cancer cells tochemotherapy
../abc\AKT\27994551_page3_338_1.jpg,AKT PKB signaling: navigatingdownstream
../abc\AKT\28443282_page1_4_0.jpg,This study involved eight investigational arms—AZD5363 AKT inhibitor  AZD 4547 FGFR inhibitor  AZD2014 mTORC1 2 inhibitor  palbocilib CDK4 6 inhibitor; Pfizer  crizotinib AZD9291 third-generation EGFR inhibitor  selumetinib MEK inhibitor + docetaxel and durvalumab anti PD-L1 monoclonal antibody
../abc\AKT\28443282_page1_4_0.jpg,Other investigational drugs include taselisib PI3K inhibitor  GSK2636771 PI3K inhibitor; Glaxo-Smith Kline  defactinib FAK inhibitor; Verastem  AZD4547 FGFR inhibitor  AZD5363 AKT inhibitor  and binimetinib MEK inhibitor; Array Biopharma
../abc\AKT\29734788_page14_234_0.jpg,Akt phosphorylates the Yes-associated protein YAP to induce interaction with 14-3-3 and attenuation of p73-mediated apoptosis
../abc\AKT\29734788_page14_234_0.jpg,Anexelekto AXL increases resistance to EGFR-TKI and activation of AKT and ERK1 2 in non-small cell lung cancer cells
../abc\AKT\29734788_page14_234_1.jpg,Akt phosphorylates the Yes-associated protein YAP to induce interaction with 14-3-3 and attenuation of p73-mediated apoptosis
../abc\AKT\29734788_page14_234_1.jpg,Anexelekto AXL increases resistance to EGFR-TKI and activation of AKT and ERK1 2 in non-small cell lung cancer cells
../abc\AKT\29734788_page6_128_0.jpg,Akt phosphorylates the Yes-associated protein YAP to induce interaction with 14-3-3 and attenuation of p73-mediated apoptosis
../abc\AKT\29734788_page6_128_0.jpg,Anexelekto AXL increases resistance to EGFR-TKI and activation of AKT and ERK1 2 in non-small cell lung cancer cells
../abc\AKT\29973561_page9_473_0.jpg,Metformin decreases IL-6 signaling reverses EMT and decreases activation of STAT3 and AKT [61 78]
../abc\AKT\31366041_page3_297_0.jpg,"Ras ERK, PI3K Akt and JAK STAT pathways that cumulatively resultin increased proliferation and reduced apoptosis of transformed cells [145]"
../abc\AKT\31366041_page3_297_0.jpg,Involvement of PI3K Akt pathway in cell cycle progression apoptosis and neoplastic transformation: Atarget for cancer chemotherapy
../abc\AKT\31366041_page3_297_0.jpg,Akt phosphorylation of BADcouples survival signals to the cell-intrinsic death machinery
../abc\AKT\31438559_page2_103_0.jpg,ADAM17 regulates prostate cancer cellproliferation through mediating cell cycle progression by EGFR PI3K AKT pathway
../abc\AKT\31438559_page5_145_0.jpg,ADAM17 regulates prostate cancer cellproliferation through mediating cell cycle progression by EGFR PI3K AKT pathway
../abc\AKT\31527477_page3_324_0.jpg,CombinedInhibitions of Glycolysis and AKT autophagy Can Overcome Resistance to EGFR-targeted Therapy of LungCancer
../abc\AKT\31527477_page3_324_0.jpg,Inhibition of Autophagy Promotes Salinomycin-Induced Apoptosis via Reactive Oxygen Species-MediatedPI3K AKT mTOR and ERK p38 MAPK-Dependent Signaling in Human Prostate Cancer Cells
../abc\AKT\31527477_page3_324_0.jpg,MiR-30a-5p Overexpression May OvercomeEGFR-Inhibitor Resistance through Regulating PI3K AKT Signaling Pathway in Non-small Cell Lung CancerCell Lines
../abc\AKT\31527477_page3_324_0.jpg,Inhibition of miR-23a increases the sensitivity of lungcancer stem cells to erlotinib through PTEN PI3K Akt pathway
../abc\AKT\31527477_page5_424_0.jpg,CombinedInhibitions of Glycolysis and AKT autophagy Can Overcome Resistance to EGFR-targeted Therapy of LungCancer
../abc\AKT\31527477_page5_424_0.jpg,Inhibition of Autophagy Promotes Salinomycin-Induced Apoptosis via Reactive Oxygen Species-MediatedPI3K AKT mTOR and ERK p38 MAPK-Dependent Signaling in Human Prostate Cancer Cells
../abc\AKT\31527477_page5_424_0.jpg,MiR-30a-5p Overexpression May OvercomeEGFR-Inhibitor Resistance through Regulating PI3K AKT Signaling Pathway in Non-small Cell Lung CancerCell Lines
../abc\AKT\31527477_page5_424_0.jpg,Inhibition of miR-23a increases the sensitivity of lungcancer stem cells to erlotinib through PTEN PI3K Akt pathway
../abc\AKT\31527477_page7_566_0.jpg,CombinedInhibitions of Glycolysis and AKT autophagy Can Overcome Resistance to EGFR-targeted Therapy of LungCancer
../abc\AKT\31527477_page7_566_0.jpg,Inhibition of Autophagy Promotes Salinomycin-Induced Apoptosis via Reactive Oxygen Species-MediatedPI3K AKT mTOR and ERK p38 MAPK-Dependent Signaling in Human Prostate Cancer Cells
../abc\AKT\31527477_page7_566_0.jpg,MiR-30a-5p Overexpression May OvercomeEGFR-Inhibitor Resistance through Regulating PI3K AKT Signaling Pathway in Non-small Cell Lung CancerCell Lines
../abc\AKT\31527477_page7_566_0.jpg,Inhibition of miR-23a increases the sensitivity of lungcancer stem cells to erlotinib through PTEN PI3K Akt pathway
../abc\AKT\31871778_page1_75_0.jpg,MiR-93 promotes tumorigenesis and metastasis ofnon-small cell lung cancer cells by activating the PI3K Akt pathway via Inhibi-tion of LKB1 PTEN CDKN1A
../abc\AKT\31871778_page1_75_0.jpg,miRNA-223 is an anticancer gene in human non-small cell lungcancer through the PI3K AKT pathway by targeting EGFR
../abc\AKT\31871778_page1_75_0.jpg,Targeting PI3K AKT mTOR pathway in non small cell lung cancer
../abc\AKT\31871778_page1_75_0.jpg,PI3K Akt signalling pathway and cancer
../abc\AKT\31871778_page1_75_0.jpg,PTEN and PI3K AKT in non-small-cell lung cancer
../abc\AKT\31871778_page1_75_0.jpg,Inhibition of miR-23a increases the sensitivity of lung cancer stemcells to erlotinib through PTEN PI3K Akt pathway
../abc\AKT\31920650_page3_84_0.jpg,3 and microRNA-19a is involved in the development ofchemoresistance to cisplatin via modulating signaling pathway of PTEN AKT
../abc\AKT\31988639_page10_712_0.jpg,Negative Regulation of AKT Activation by BRCA1
../abc\AKT\31988639_page10_712_0.jpg,Akt is negatively regulated by theMULAN E3 ligase
../abc\AKT\31988639_page10_712_0.jpg,PTEN lossdefines a PI3K AKT pathway-dependent germinal center subtype of diffuse large B-cell lymphoma
../abc\AKT\31988639_page10_712_0.jpg,PI3K PTEN Akt and TSC mTOR signaling pathways ovarian dysfunction and infertility: anupdate
../abc\AKT\31988639_page10_712_0.jpg,The PTEN PI3K AKT Pathway in vivo
../abc\AKT\31988639_page10_712_0.jpg,PTEN modulates cell cycleprogression and cell survival by regulating phosphatidylinositol 3 4 5 -trisphosphate and Akt protein kinase B signalingpathway
../abc\AKT\31988639_page10_712_0.jpg,Deregulation of the EGFR PI3K PTEN Akt mTORC1 pathway in breast cancer: possibilities for therapeutic intervention
../abc\AKT\31988639_page10_712_0.jpg,Phosphorylation and regulation of Raf by Akt protein kinase B
../abc\AKT\31988639_page10_712_0.jpg,PI3K Akt mTOR signaling pathway and non-small cell lung cancer
../abc\AKT\31988639_page9_694_0.jpg,Negative Regulation of AKT Activation by BRCA1
../abc\AKT\31988639_page9_694_0.jpg,Akt is negatively regulated by theMULAN E3 ligase
../abc\AKT\31988639_page9_694_0.jpg,PTEN lossdefines a PI3K AKT pathway-dependent germinal center subtype of diffuse large B-cell lymphoma
../abc\AKT\31988639_page9_694_0.jpg,PI3K PTEN Akt and TSC mTOR signaling pathways ovarian dysfunction and infertility: anupdate
../abc\AKT\31988639_page9_694_0.jpg,The PTEN PI3K AKT Pathway in vivo
../abc\AKT\31988639_page9_694_0.jpg,PTEN modulates cell cycleprogression and cell survival by regulating phosphatidylinositol 3 4 5 -trisphosphate and Akt protein kinase B signalingpathway
../abc\AKT\31988639_page9_694_0.jpg,Deregulation of the EGFR PI3K PTEN Akt mTORC1 pathway in breast cancer: possibilities for therapeutic intervention
../abc\AKT\31988639_page9_694_0.jpg,Phosphorylation and regulation of Raf by Akt protein kinase B
../abc\AKT\31988639_page9_694_0.jpg,PI3K Akt mTOR signaling pathway and non-small cell lung cancer
../abc\AKT\31988639_page9_694_1.jpg,Negative Regulation of AKT Activation by BRCA1
../abc\AKT\31988639_page9_694_1.jpg,Akt is negatively regulated by theMULAN E3 ligase
../abc\AKT\31988639_page9_694_1.jpg,PTEN lossdefines a PI3K AKT pathway-dependent germinal center subtype of diffuse large B-cell lymphoma
../abc\AKT\31988639_page9_694_1.jpg,PI3K PTEN Akt and TSC mTOR signaling pathways ovarian dysfunction and infertility: anupdate
../abc\AKT\31988639_page9_694_1.jpg,The PTEN PI3K AKT Pathway in vivo
../abc\AKT\31988639_page9_694_1.jpg,PTEN modulates cell cycleprogression and cell survival by regulating phosphatidylinositol 3 4 5 -trisphosphate and Akt protein kinase B signalingpathway
../abc\AKT\31988639_page9_694_1.jpg,Deregulation of the EGFR PI3K PTEN Akt mTORC1 pathway in breast cancer: possibilities for therapeutic intervention
../abc\AKT\31988639_page9_694_1.jpg,Phosphorylation and regulation of Raf by Akt protein kinase B
../abc\AKT\31988639_page9_694_1.jpg,PI3K Akt mTOR signaling pathway and non-small cell lung cancer
../abc\AKT\32549388_page2_94_0.jpg,Some miRNAs can promote TKI resistance via activating the PI3K AKT mTOR signaling pathways
../abc\AKT\32549388_page2_94_0.jpg,miR-21 and miR-23a can target PTEN and then activate AKT resulting in resistance to TKIs in NSCLC cells [111 112]
../abc\AKT\32549388_page2_94_0.jpg,miR-21 and KLF4 jointly augmentepithelial-mesenchymal transition via the Akt ERK1 2 pathway
../abc\AKT\32549388_page2_94_0.jpg,Inhibition of miR-23a increases the sensitivity of lungcancer stem cells to erlotinib through PTEN PI3K Akt pathway
../abc\AKT\32560574_page2_100_0.jpg,Hyperactivation of RAF MEK ERK RSK and PI3K AKT mTOR pathways was deﬁned asa key resistance mechanism to ganetespib [103]
../abc\AKT\32560574_page2_100_0.jpg,Antitumor activity in ras-driven tumors by blocking akt and mek
../abc\AKT\32666476_page5_83_0.jpg,Allosteric modulation of Ras and the PI3K AKT mTOR pathway: emerging therapeutic opportunities
../abc\AKT\33024658_page1_35_0.jpg,Bone metastasis in renal cell carcinoma ispreprogrammed in the primary tumor and caused by AKT and integrin alpha5signaling J
../abc\AKT\33419029_page7_111_0.jpg,"The four major receptors groups RTKs PDGFR c-KIT and VEGFR closely regulate the cellular process such as angiogenesis cell proliferation and motility and anti-apoptotic capability of cancer cells through the induction of RAF MEK ERK, PI3K AKT mTOR, PKC and Src FAK axis"
../abc\AKT\33562150_page1_85_0.jpg,"Althoughdirect evidence of the PD-L1-regulated MERTK signaling pathway is lacking a studyof the PD-L1 signalosome showed that the intracellular domain of PD-L1 may interactwith molecules that are involved in Akt mTOR, the DNA damage response and theanti-apoptosis pathway [142 146]"
../abc\AKT\33562150_page1_85_0.jpg,"Although direct evidence of the PD-L1-regulated MERTK signaling pathway is lacking a study of the PD-L1 signal-osome showed that the intracellular domain of PD-L1 may interact with molecules that are involved in Akt mTOR, the DNA damage response and the anti-apoptosis pathway [142 146]"
../abc\AKT\33562150_page1_85_0.jpg,M2 macrophages reduce the effect of geﬁtinib by activating Akt mTOR ingeﬁtinib-resistant cell lines HCC827 GR
../abc\AKT\33562150_page2_105_0.jpg,"Althoughdirect evidence of the PD-L1-regulated MERTK signaling pathway is lacking a studyof the PD-L1 signalosome showed that the intracellular domain of PD-L1 may interactwith molecules that are involved in Akt mTOR, the DNA damage response and theanti-apoptosis pathway [142 146]"
../abc\AKT\33562150_page2_105_0.jpg,"Although direct evidence of the PD-L1-regulated MERTK signaling pathway is lacking a study of the PD-L1 signal-osome showed that the intracellular domain of PD-L1 may interact with molecules that are involved in Akt mTOR, the DNA damage response and the anti-apoptosis pathway [142 146]"
../abc\AKT\33562150_page2_105_0.jpg,M2 macrophages reduce the effect of geﬁtinib by activating Akt mTOR ingeﬁtinib-resistant cell lines HCC827 GR
../abc\AKT\33562150_page4_139_0.jpg,"Althoughdirect evidence of the PD-L1-regulated MERTK signaling pathway is lacking a studyof the PD-L1 signalosome showed that the intracellular domain of PD-L1 may interactwith molecules that are involved in Akt mTOR, the DNA damage response and theanti-apoptosis pathway [142 146]"
../abc\AKT\33562150_page4_139_0.jpg,"Although direct evidence of the PD-L1-regulated MERTK signaling pathway is lacking a study of the PD-L1 signal-osome showed that the intracellular domain of PD-L1 may interact with molecules that are involved in Akt mTOR, the DNA damage response and the anti-apoptosis pathway [142 146]"
../abc\AKT\33562150_page4_139_0.jpg,M2 macrophages reduce the effect of geﬁtinib by activating Akt mTOR ingeﬁtinib-resistant cell lines HCC827 GR
../abc\AKT\33562150_page9_195_0.jpg,"Althoughdirect evidence of the PD-L1-regulated MERTK signaling pathway is lacking a studyof the PD-L1 signalosome showed that the intracellular domain of PD-L1 may interactwith molecules that are involved in Akt mTOR, the DNA damage response and theanti-apoptosis pathway [142 146]"
../abc\AKT\33562150_page9_195_0.jpg,"Although direct evidence of the PD-L1-regulated MERTK signaling pathway is lacking a study of the PD-L1 signal-osome showed that the intracellular domain of PD-L1 may interact with molecules that are involved in Akt mTOR, the DNA damage response and the anti-apoptosis pathway [142 146]"
../abc\AKT\33562150_page9_195_0.jpg,M2 macrophages reduce the effect of geﬁtinib by activating Akt mTOR ingeﬁtinib-resistant cell lines HCC827 GR
../abc\EGFR\25505733_page1_4_0.jpg,Striking therapeutic advances in metastatic NSCLC have beenobserved with targeted agents using molecular selection notablefor patients with EGFR mutant or ALK-rearranged lung can-cer
../abc\EGFR\25505733_page1_4_0.jpg,A prospec-tive molecular epidemiology study of EGFR mutations in Asian patients withadvanced non-small-cell lung cancer of adenocarcinoma histology PIONEER
../abc\EGFR\25505733_page1_4_0.jpg,Clini-cal activity of the mutant-selective EGFR inhibitor AZD9291 in patients pts with EGFR inhibitor-resistant non-small cell lung cancer NSCLC
../abc\EGFR\25505733_page1_4_0.jpg,First-in-human evaluation of CO-1686 an irreversible highly selective tyrosinekinase inhibitor of mutations of EGFR activating and T790M
../abc\EGFR\25505733_page1_4_0.jpg,Aphase II study of HSP90 inhibitor AUY922 and erlotinib for patients with EGFR-mutant lung cancer and acquired resistance to EGFR tyrosine kinase inhibitors
../abc\EGFR\25505733_page1_4_0.jpg,Roleof KRAS and EGFR as biomarkers of response to erlotinib in National Can-cer Institute of Canada clinical trials group study BR
../abc\EGFR\28348561_page4_158_0.jpg,Molecular epidemiology of lung cancer and geographic varia-tions with special reference to EGFR mutations
../abc\EGFR\28348561_page4_158_0.jpg,Afatinib versus gefitinib as first-line treatment of patients with EGFR mutation-pos-itive non-small-cell lung cancer LUX-Lung 7 : a Phase 2B open-label randomised controlled trial
../abc\EGFR\28348561_page4_158_0.jpg,Paracrine network: another step in the com-plexity of resistance to EGFR blockade? Clin Cancer Res 2014 20 24 :6227–9
../abc\EGFR\29973561_page2_202_0.jpg,Local therapy with continued egfr tyrosine kinase inhibitor therapy as a treatment strategyin egfr-mutant advanced lung cancers that have developed acquired resistance to egfr tyrosine kinaseinhibitors
../abc\EGFR\29973561_page2_202_0.jpg,The t790m “gatekeeper” mutation in EGFR mediates resistance to low concentrations of anirreversible egfr inhibitor
../abc\EGFR\29973561_page2_202_0.jpg,The role of egfr inhibition in the treatment of non-small cell lung cancer
../abc\EGFR\29973561_page2_202_0.jpg,Azd9291 in EGFR inhibitor-resistant non-small-cell lung cancer
../abc\EGFR\29973561_page2_202_0.jpg,Antitumor activity of osimertinib an irreversible mutant-selective EGFRtyrosine kinase inhibitor in nsclc harboring egfr exon 20 insertions
../abc\EGFR\29973561_page2_202_0.jpg,Egfr-independentmechanisms of acquired resistance to azd9291 in egfr t790m-positive nsclc patients
../abc\EGFR\29973561_page2_202_0.jpg,EGFR g796dmutation mediates resistance to osimertinib
../abc\EGFR\29973561_page2_202_0.jpg,EGFR c797s mutation mediates resistance to third-generationinhibitors in t790m-positive non-small cell lung cancer
../abc\EGFR\29973561_page2_202_0.jpg,Eai045: The fourth-generation egfr inhibitor overcoming t790m and c797sresistance
../abc\EGFR\29973561_page2_202_0.jpg,Activating and resistance mutations of egfr in non-small-cell lung cancer: Role in clinicalresponse to EGFR tyrosine kinase inhibitors
../abc\EGFR\29973561_page2_202_0.jpg,T790m and acquired resistance of EGFR TKI: A literature review of clinical reports
../abc\EGFR\29973561_page2_202_0.jpg,Alternative signalingpathways as potential therapeutic targets for overcoming egfr and c-met inhibitor resistance in non-smallcell lung cancer
../abc\EGFR\29973561_page2_202_0.jpg,Mechanism of resistance and novel targetsmediating resistance to egfr and c-met tyrosine kinase inhibitors in non-small cell lung cancer
../abc\EGFR\29973561_page2_202_0.jpg,HER2 kinase domain mutation results in constitutive phosphorylation andactivation of HER2 and EGFR and resistance to egfr tyrosine kinase inhibitors
../abc\EGFR\29973561_page2_202_0.jpg,Synergism of EGFR and c-MET pathways cross-talk and inhibition in non-small celllung cancer
../abc\EGFR\29973561_page2_202_0.jpg,Combined therapy with mutant-selective EGFR inhibitor and MET kinaseinhibitor for overcoming erlotinib resistance in EGFR-mutant lung cancer
../abc\EGFR\29973561_page2_202_0.jpg,Combinedinhibition of igfr enhances the effects of geﬁtinib in h1650: A lung cancer cell line with egfr mutation andprimary resistance to EGFR-TK inhibitors
../abc\EGFR\29973561_page2_202_0.jpg,Synergistic effects of metformin treatment in combination with geﬁtinib a selective egfr tyrosine kinase inhibitor in LKB1 wild-type nsclc cell lines
../abc\EGFR\29973561_page2_202_0.jpg,Activation of signal transducer and activator of transcription 3 STAT3 signaling in egfr mutant non-small-cell lung cancer NSCLC
../abc\EGFR\29973561_page2_202_0.jpg,Acquired resistance to the mutant-selective EGFR inhibitor azd9291 is associatedwith increased dependence on Ras signaling in preclinical models
../abc\EGFR\29973561_page4_305_0.jpg,Local therapy with continued egfr tyrosine kinase inhibitor therapy as a treatment strategyin egfr-mutant advanced lung cancers that have developed acquired resistance to egfr tyrosine kinaseinhibitors
../abc\EGFR\29973561_page4_305_0.jpg,The t790m “gatekeeper” mutation in EGFR mediates resistance to low concentrations of anirreversible egfr inhibitor
../abc\EGFR\29973561_page4_305_0.jpg,The role of egfr inhibition in the treatment of non-small cell lung cancer
../abc\EGFR\29973561_page4_305_0.jpg,Azd9291 in EGFR inhibitor-resistant non-small-cell lung cancer
../abc\EGFR\29973561_page4_305_0.jpg,Antitumor activity of osimertinib an irreversible mutant-selective EGFRtyrosine kinase inhibitor in nsclc harboring egfr exon 20 insertions
../abc\EGFR\29973561_page4_305_0.jpg,Egfr-independentmechanisms of acquired resistance to azd9291 in egfr t790m-positive nsclc patients
../abc\EGFR\29973561_page4_305_0.jpg,EGFR g796dmutation mediates resistance to osimertinib
../abc\EGFR\29973561_page4_305_0.jpg,EGFR c797s mutation mediates resistance to third-generationinhibitors in t790m-positive non-small cell lung cancer
../abc\EGFR\29973561_page4_305_0.jpg,Eai045: The fourth-generation egfr inhibitor overcoming t790m and c797sresistance
../abc\EGFR\29973561_page4_305_0.jpg,Activating and resistance mutations of egfr in non-small-cell lung cancer: Role in clinicalresponse to EGFR tyrosine kinase inhibitors
../abc\EGFR\29973561_page4_305_0.jpg,T790m and acquired resistance of EGFR TKI: A literature review of clinical reports
../abc\EGFR\29973561_page4_305_0.jpg,Alternative signalingpathways as potential therapeutic targets for overcoming egfr and c-met inhibitor resistance in non-smallcell lung cancer
../abc\EGFR\29973561_page4_305_0.jpg,Mechanism of resistance and novel targetsmediating resistance to egfr and c-met tyrosine kinase inhibitors in non-small cell lung cancer
../abc\EGFR\29973561_page4_305_0.jpg,HER2 kinase domain mutation results in constitutive phosphorylation andactivation of HER2 and EGFR and resistance to egfr tyrosine kinase inhibitors
../abc\EGFR\29973561_page4_305_0.jpg,Synergism of EGFR and c-MET pathways cross-talk and inhibition in non-small celllung cancer
../abc\EGFR\29973561_page4_305_0.jpg,Combined therapy with mutant-selective EGFR inhibitor and MET kinaseinhibitor for overcoming erlotinib resistance in EGFR-mutant lung cancer
../abc\EGFR\29973561_page4_305_0.jpg,Combinedinhibition of igfr enhances the effects of geﬁtinib in h1650: A lung cancer cell line with egfr mutation andprimary resistance to EGFR-TK inhibitors
../abc\EGFR\29973561_page4_305_0.jpg,Synergistic effects of metformin treatment in combination with geﬁtinib a selective egfr tyrosine kinase inhibitor in LKB1 wild-type nsclc cell lines
../abc\EGFR\29973561_page4_305_0.jpg,Activation of signal transducer and activator of transcription 3 STAT3 signaling in egfr mutant non-small-cell lung cancer NSCLC
../abc\EGFR\29973561_page4_305_0.jpg,Acquired resistance to the mutant-selective EGFR inhibitor azd9291 is associatedwith increased dependence on Ras signaling in preclinical models
../abc\EGFR\29973561_page4_305_1.jpg,Local therapy with continued egfr tyrosine kinase inhibitor therapy as a treatment strategyin egfr-mutant advanced lung cancers that have developed acquired resistance to egfr tyrosine kinaseinhibitors
../abc\EGFR\29973561_page4_305_1.jpg,The t790m “gatekeeper” mutation in EGFR mediates resistance to low concentrations of anirreversible egfr inhibitor
../abc\EGFR\29973561_page4_305_1.jpg,The role of egfr inhibition in the treatment of non-small cell lung cancer
../abc\EGFR\29973561_page4_305_1.jpg,Azd9291 in EGFR inhibitor-resistant non-small-cell lung cancer
../abc\EGFR\29973561_page4_305_1.jpg,Antitumor activity of osimertinib an irreversible mutant-selective EGFRtyrosine kinase inhibitor in nsclc harboring egfr exon 20 insertions
../abc\EGFR\29973561_page4_305_1.jpg,Egfr-independentmechanisms of acquired resistance to azd9291 in egfr t790m-positive nsclc patients
../abc\EGFR\29973561_page4_305_1.jpg,EGFR g796dmutation mediates resistance to osimertinib
../abc\EGFR\29973561_page4_305_1.jpg,EGFR c797s mutation mediates resistance to third-generationinhibitors in t790m-positive non-small cell lung cancer
../abc\EGFR\29973561_page4_305_1.jpg,Eai045: The fourth-generation egfr inhibitor overcoming t790m and c797sresistance
../abc\EGFR\29973561_page4_305_1.jpg,Activating and resistance mutations of egfr in non-small-cell lung cancer: Role in clinicalresponse to EGFR tyrosine kinase inhibitors
../abc\EGFR\29973561_page4_305_1.jpg,T790m and acquired resistance of EGFR TKI: A literature review of clinical reports
../abc\EGFR\29973561_page4_305_1.jpg,Alternative signalingpathways as potential therapeutic targets for overcoming egfr and c-met inhibitor resistance in non-smallcell lung cancer
../abc\EGFR\29973561_page4_305_1.jpg,Mechanism of resistance and novel targetsmediating resistance to egfr and c-met tyrosine kinase inhibitors in non-small cell lung cancer
../abc\EGFR\29973561_page4_305_1.jpg,HER2 kinase domain mutation results in constitutive phosphorylation andactivation of HER2 and EGFR and resistance to egfr tyrosine kinase inhibitors
../abc\EGFR\29973561_page4_305_1.jpg,Synergism of EGFR and c-MET pathways cross-talk and inhibition in non-small celllung cancer
../abc\EGFR\29973561_page4_305_1.jpg,Combined therapy with mutant-selective EGFR inhibitor and MET kinaseinhibitor for overcoming erlotinib resistance in EGFR-mutant lung cancer
../abc\EGFR\29973561_page4_305_1.jpg,Combinedinhibition of igfr enhances the effects of geﬁtinib in h1650: A lung cancer cell line with egfr mutation andprimary resistance to EGFR-TK inhibitors
