image,caption
../abc\AKT\26579470_page1_13_0.jpg,However PTEN loss contributes to erlotinib resistance in EGFRmutant lung cancer by activation of AKT and EGFR54 55
../abc\AKT\26579470_page2_41_0.jpg,There are three main downstreampathways: 1 rat sarcoma RAS  rapidly accelerated ﬁbrosarcoma RAF  mitogen-activated protein kinase MAPK pathway; 2 phosphatidylinositol-3-kinase PI3K  protein kinase B AKT path-way and 3 janus kinase JAK  signal transducers and activators oftranscription STAT pathway which stimulates mitosis leading tocell proliferation and inhibition of apoptosis1
../abc\AKT\26579470_page2_41_0.jpg,"The principal pathways included: 1 RAS RAF MEK, 2 PI3K AKT and 3 JAK STAT pathways"
../abc\AKT\26579470_page2_41_0.jpg,HER3 serves as a key activator of downstream PI3K AKT and MEK MAPK signal pathways through dimerization with other HER family proteins or other molecules
../abc\AKT\26579470_page2_41_0.jpg,HER3 serves as akey activator of downstream PI3K AKT and MEK mitogen-activated protein kinase MAPK pathways and contributes tosurvival of the most tumor cells
../abc\AKT\26579470_page2_41_0.jpg,The resistantmechanism of EGFR-TKIs may involve HER3-PI3K AKT signal-ing by maintaining HER3 phosphorylation in the presence ofgeﬁtinib which is independent of EGFR kinase activity19
../abc\AKT\26579470_page2_41_0.jpg,EGFRvIII expression is associated withthe activation of downstream PI3K AKT mTOR pathway and increasesproliferation and cell cycle progression mediated by a decrease in thelevel of p27KIP1
../abc\AKT\26579470_page2_41_0.jpg,The researchers suggested thatthe AXL upregulation may activate AKT MAPK or NF-κBsignaling to promote resistance to erlotinib perhaps in associationwith epithelial mesenchymal transition EMT process via indu-cing Slug expression38
../abc\AKT\26579470_page2_41_0.jpg,Ampliﬁcationof CRKL in EGFR-mutant cells induces resistance to geﬁtinib byactivating ERK and AKT signaling44
../abc\AKT\26579470_page2_41_0.jpg,Beta1 subunit of integrin is an adhesion molecule sharingcommon downstream signaling elements with EGFR such asthe PI3K AKT and ERK1 2 pathways
../abc\AKT\26579470_page2_41_0.jpg,49 identiﬁed the integrin β1 Src AKT signal pathway as a key mediator of acquired resistanceto EGFR-targeted anticancer drugs
../abc\AKT\26579470_page2_41_0.jpg,PTEN dephosphorylates PI- 3 4 5 -triphosphate which mediatesactivation of AKT thereby negatively regulating the PI3K AKT mTOR pathway and leading to G1 cell cycle arrest and apoptosis
../abc\AKT\26579470_page2_41_0.jpg,However PTEN loss contributes to erlotinib resistance in EGFRmutant lung cancer by activation of AKT and EGFR54 55
../abc\AKT\26579470_page3_62_0.jpg,There are three main downstreampathways: 1 rat sarcoma RAS  rapidly accelerated ﬁbrosarcoma RAF  mitogen-activated protein kinase MAPK pathway; 2 phosphatidylinositol-3-kinase PI3K  protein kinase B AKT path-way and 3 janus kinase JAK  signal transducers and activators oftranscription STAT pathway which stimulates mitosis leading tocell proliferation and inhibition of apoptosis1
../abc\AKT\26579470_page3_62_0.jpg,"The principal pathways included: 1 RAS RAF MEK, 2 PI3K AKT and 3 JAK STAT pathways"
../abc\AKT\26579470_page3_62_0.jpg,HER3 serves as a key activator of downstream PI3K AKT and MEK MAPK signal pathways through dimerization with other HER family proteins or other molecules
../abc\AKT\26579470_page3_62_0.jpg,HER3 serves as akey activator of downstream PI3K AKT and MEK mitogen-activated protein kinase MAPK pathways and contributes tosurvival of the most tumor cells
../abc\AKT\26579470_page3_62_0.jpg,The resistantmechanism of EGFR-TKIs may involve HER3-PI3K AKT signal-ing by maintaining HER3 phosphorylation in the presence ofgeﬁtinib which is independent of EGFR kinase activity19
../abc\AKT\26579470_page3_62_0.jpg,EGFRvIII expression is associated withthe activation of downstream PI3K AKT mTOR pathway and increasesproliferation and cell cycle progression mediated by a decrease in thelevel of p27KIP1
../abc\AKT\26579470_page3_62_0.jpg,The researchers suggested thatthe AXL upregulation may activate AKT MAPK or NF-κBsignaling to promote resistance to erlotinib perhaps in associationwith epithelial mesenchymal transition EMT process via indu-cing Slug expression38
../abc\AKT\26579470_page3_62_0.jpg,Ampliﬁcationof CRKL in EGFR-mutant cells induces resistance to geﬁtinib byactivating ERK and AKT signaling44
../abc\AKT\26579470_page3_62_0.jpg,Beta1 subunit of integrin is an adhesion molecule sharingcommon downstream signaling elements with EGFR such asthe PI3K AKT and ERK1 2 pathways
../abc\AKT\26579470_page3_62_0.jpg,49 identiﬁed the integrin β1 Src AKT signal pathway as a key mediator of acquired resistanceto EGFR-targeted anticancer drugs
../abc\AKT\26579470_page3_62_0.jpg,PTEN dephosphorylates PI- 3 4 5 -triphosphate which mediatesactivation of AKT thereby negatively regulating the PI3K AKT mTOR pathway and leading to G1 cell cycle arrest and apoptosis
../abc\AKT\26579470_page3_62_0.jpg,However PTEN loss contributes to erlotinib resistance in EGFRmutant lung cancer by activation of AKT and EGFR54 55
../abc\AKT\26579470_page6_135_0.jpg,There are three main downstreampathways: 1 rat sarcoma RAS  rapidly accelerated ﬁbrosarcoma RAF  mitogen-activated protein kinase MAPK pathway; 2 phosphatidylinositol-3-kinase PI3K  protein kinase B AKT path-way and 3 janus kinase JAK  signal transducers and activators oftranscription STAT pathway which stimulates mitosis leading tocell proliferation and inhibition of apoptosis1
../abc\AKT\26579470_page6_135_0.jpg,"The principal pathways included: 1 RAS RAF MEK, 2 PI3K AKT and 3 JAK STAT pathways"
../abc\AKT\26579470_page6_135_0.jpg,HER3 serves as a key activator of downstream PI3K AKT and MEK MAPK signal pathways through dimerization with other HER family proteins or other molecules
../abc\AKT\26579470_page6_135_0.jpg,HER3 serves as akey activator of downstream PI3K AKT and MEK mitogen-activated protein kinase MAPK pathways and contributes tosurvival of the most tumor cells
../abc\AKT\26579470_page6_135_0.jpg,The resistantmechanism of EGFR-TKIs may involve HER3-PI3K AKT signal-ing by maintaining HER3 phosphorylation in the presence ofgeﬁtinib which is independent of EGFR kinase activity19
../abc\AKT\26579470_page6_135_0.jpg,EGFRvIII expression is associated withthe activation of downstream PI3K AKT mTOR pathway and increasesproliferation and cell cycle progression mediated by a decrease in thelevel of p27KIP1
../abc\AKT\26579470_page6_135_0.jpg,The researchers suggested thatthe AXL upregulation may activate AKT MAPK or NF-κBsignaling to promote resistance to erlotinib perhaps in associationwith epithelial mesenchymal transition EMT process via indu-cing Slug expression38
../abc\AKT\26579470_page6_135_0.jpg,Ampliﬁcationof CRKL in EGFR-mutant cells induces resistance to geﬁtinib byactivating ERK and AKT signaling44
../abc\AKT\26579470_page6_135_0.jpg,Beta1 subunit of integrin is an adhesion molecule sharingcommon downstream signaling elements with EGFR such asthe PI3K AKT and ERK1 2 pathways
../abc\AKT\26579470_page6_135_0.jpg,49 identiﬁed the integrin β1 Src AKT signal pathway as a key mediator of acquired resistanceto EGFR-targeted anticancer drugs
../abc\AKT\26579470_page6_135_0.jpg,PTEN dephosphorylates PI- 3 4 5 -triphosphate which mediatesactivation of AKT thereby negatively regulating the PI3K AKT mTOR pathway and leading to G1 cell cycle arrest and apoptosis
../abc\AKT\26579470_page6_135_0.jpg,However PTEN loss contributes to erlotinib resistance in EGFRmutant lung cancer by activation of AKT and EGFR54 55
../abc\AKT\26579470_page7_156_0.jpg,There are three main downstreampathways: 1 rat sarcoma RAS  rapidly accelerated ﬁbrosarcoma RAF  mitogen-activated protein kinase MAPK pathway; 2 phosphatidylinositol-3-kinase PI3K  protein kinase B AKT path-way and 3 janus kinase JAK  signal transducers and activators oftranscription STAT pathway which stimulates mitosis leading tocell proliferation and inhibition of apoptosis1
../abc\AKT\26579470_page7_156_0.jpg,"The principal pathways included: 1 RAS RAF MEK, 2 PI3K AKT and 3 JAK STAT pathways"
../abc\AKT\26579470_page7_156_0.jpg,HER3 serves as a key activator of downstream PI3K AKT and MEK MAPK signal pathways through dimerization with other HER family proteins or other molecules
../abc\AKT\26579470_page7_156_0.jpg,HER3 serves as akey activator of downstream PI3K AKT and MEK mitogen-activated protein kinase MAPK pathways and contributes tosurvival of the most tumor cells
../abc\AKT\26579470_page7_156_0.jpg,The resistantmechanism of EGFR-TKIs may involve HER3-PI3K AKT signal-ing by maintaining HER3 phosphorylation in the presence ofgeﬁtinib which is independent of EGFR kinase activity19
../abc\AKT\26579470_page7_156_0.jpg,EGFRvIII expression is associated withthe activation of downstream PI3K AKT mTOR pathway and increasesproliferation and cell cycle progression mediated by a decrease in thelevel of p27KIP1
../abc\AKT\26579470_page7_156_0.jpg,The researchers suggested thatthe AXL upregulation may activate AKT MAPK or NF-κBsignaling to promote resistance to erlotinib perhaps in associationwith epithelial mesenchymal transition EMT process via indu-cing Slug expression38
../abc\AKT\26579470_page7_156_0.jpg,Ampliﬁcationof CRKL in EGFR-mutant cells induces resistance to geﬁtinib byactivating ERK and AKT signaling44
../abc\AKT\26579470_page7_156_0.jpg,Beta1 subunit of integrin is an adhesion molecule sharingcommon downstream signaling elements with EGFR such asthe PI3K AKT and ERK1 2 pathways
../abc\AKT\26579470_page7_156_0.jpg,49 identiﬁed the integrin β1 Src AKT signal pathway as a key mediator of acquired resistanceto EGFR-targeted anticancer drugs
../abc\AKT\26579470_page7_156_0.jpg,PTEN dephosphorylates PI- 3 4 5 -triphosphate which mediatesactivation of AKT thereby negatively regulating the PI3K AKT mTOR pathway and leading to G1 cell cycle arrest and apoptosis
../abc\AKT\26579470_page7_156_0.jpg,However PTEN loss contributes to erlotinib resistance in EGFRmutant lung cancer by activation of AKT and EGFR54 55
../abc\AKT\26675306_page3_47_0.jpg,PI3K AKT mTOR inhibitors
../abc\AKT\26675306_page3_47_0.jpg,The PI3K AKT mTOR pathway is one of the most potent pro-survival signaling cascades [92] and its aberrant activation is a com-mon event in high-risk neuroblastoma patients [93]
../abc\AKT\26675306_page3_47_0.jpg,Perifosine is analkylphospholipid inhibitor of the PI3K AKT pathway which whenused as a single agent signiﬁcantly improved the survival of micebearing human neuroblastoma xenografts AS NGP BE2 andKCNR [94] and showed synergistic effects in combination withetoposide [95]
../abc\AKT\26675306_page3_47_0.jpg,Recent in vivo studies reported the anti-proliferative ability of fournovel drugs active against the PI3K AKT mTOR pathway namelySF1126 XL147 PI103 and NVP-BEZ235 [32 100–104]
../abc\AKT\26675306_page3_47_0.jpg,In RMS IGFR survival signal-ing is primarily maintained through the AKT pathway and activation ofPI3K mTOR signaling [269]
../abc\AKT\26675306_page3_47_0.jpg,Inhibition of the PI3K AKT mTOR axis hasalso been proposed for osteosarcoma patients and PI3K AKT inhibitorssuch as GSK690693 and MK-2206 have been tested against osteosarco-ma xenograft panels
../abc\AKT\26675306_page3_47_0.jpg,Fulda The PI3K Akt mTOR pathway as therapeutic target in neuroblastoma Curr
../abc\AKT\26675306_page3_47_0.jpg,Analysis of PI3K AKT mTOR signalling pathway inhigh risk neuroblastic tumours Pol
../abc\AKT\26675306_page3_47_0.jpg,Perifosine-induced inhibition of Akt attenuates brain-derived neuro-trophic factor TrkB-induced chemoresistance in neuroblastoma in vivo Cancer117 23 2011 5412–5422
../abc\AKT\26675306_page3_47_0.jpg,ANR 2012 Abstract POC27: Targeting the PI3K Akt Pathway:Perifosine Monotherapy for Resistant Neuroblastoma NB in a Phase I Ib Study 2012
../abc\AKT\26675306_page3_47_0.jpg,Maity PI3K AKT mTOR pathway in angiogenesis Front
../abc\AKT\26675306_page3_47_0.jpg,Targeting aberrant PI3K Akt activation by PI103 restores sensitivityto TRAIL-induced apoptosis in neuroblastoma Clin
../abc\AKT\26675306_page3_47_0.jpg,Effects of small molecule inhibitors of PI3K Akt mTOR signal-ing on neuroblastoma growth in vitro and in vivo Int
../abc\AKT\26675306_page3_47_0.jpg,Insulin-like growth factor 1 receptor antibody inducesrhabdomyosarcoma cell death via a process involving AKT and Bcl-x L  Oncogene29 48 2010 6367–6377
../abc\AKT\26891293_page8_281_0.jpg,Phosphatidylinositol-3-kinase PI3K and mammalian target of rapamycin mTOR are 2 upstream molecules known to activate theprotein kinase B Akt phosphorylation cascade
../abc\AKT\26891293_page8_281_0.jpg,Further analyses with SCC-1 which is an in vitro model of head and neck tumour uncovered that apoptotic activation and repression of phosphorylated EGFR Akt MAPK were morepronounced in the cetuximab plus geﬁtinib group compared with the geﬁtinib-treated group [15]
../abc\AKT\26891293_page8_281_0.jpg,The notion that miR-21 mediates geﬁtinibresistance was conﬁrmed further by the study demonstrating that intra-tumour administration withanti-miR-21 oligonucleotides antagonized the elevation of Akt in both total and phosphorylatedforms in geﬁtinib-resistant PC9 tumours [34]
../abc\AKT\26891293_page8_281_0.jpg,Emerging evidence also suggests that miRNAs may mediate the chemopreventive effectsof natural dietary compounds Table 2 and thus may account for the reported changes in theepigenetic machineries and canonical PI3K Akt survival signalling pathway as reviewed extensivelyelsewhere [43]
../abc\AKT\26891293_page8_281_0.jpg,"AntrocinÒ miR-Let-7cÓ Akt JAK1 2, STAT3Ò Bax cleavage of caspase 3[28]"
../abc\AKT\26891293_page8_281_0.jpg,Recent attempts have proposed a critical role formiR-520h during lung cancer metastasis by which its over-expression antagonized the stimulation of PP2A by resveratrol leading to thereversion of a high phosphorylation level of Akt and ultimately the migrating capacity of A549cells [39]
../abc\AKT\26891293_page8_281_0.jpg,Akt Protein kinase B AMPK AMP-activated protein kinase ATM Ataxia telangiectasia mutated ATP Adenosine triphosphate CD31 Cluster of differentiation 31 EGF R Epidermal growth factor receptor EGFR-TKI Epidermal growth factor receptor tyrosine kinase inhibitor HIF-1α Hypoxia-inducing factor 1 alpha HGF Hepatocyte growth factor IC50 Half maximal inhibitory concentration IGFR Insulin growth factor receptor JAK1 2 Janus kinase 1 2 MET Hepatocyte growth factor receptor miRNA MicroRNA mTOR Mammalian target of rapamycin mTOR NSCLC Non-small cell lung cancer PARP poly ADP-ribose polymerase PARP
../abc\AKT\27843613_page2_48_0.jpg,Severalmechanisms of resistance have been described toEGFR-TKIs such as the occurrence of secondarymutation T790M C797S  the activation of alternativesignalling Met HGF AXL Hh IGF-1R  the aberranceof the downstream pathways AKT mutations loss ofPTEN  the impairment of the EGFR-TKIs-mediatedapoptosis pathway BCL2-like 11 BIM deletionpolymorphism and histological transformation
../abc\AKT\27843613_page2_48_0.jpg,When the EGFRextracellular domain binds to its ligands suchas epidermal growth factor EGF and trans-forming growth factor-α TGF-α  it formsdimers with other EGFR or other HER familymembers and undergoes autophosphoryla-tion at the key tyrosine residues thus activat-ing several downstream signalling pathwayssuch as protein kinase B AKT PKB andmitogen-activated protein kinases MAPK  which regulate multiple cellular processes including proliferation survival and apop-tosis
../abc\AKT\27843613_page2_48_0.jpg,Known mechanisms are secondary resistance mutations occurring in the ATP-binding domain such as T790M and C797S  mutation or amplification of bypass signallings such as AXL Hh ERBb2 CRIPTO etc  activating mutations in the downstream pathways PI3K AKT MEK RAF  low levels of mRNA or polymorphisms of the pro-apoptotic protein BIM induction of a transcription programme for EMT and phenotypical changes or induction of elevated tumour PD-L1 levels
../abc\AKT\27843613_page2_48_0.jpg,Another example is represented by high basal levels ofCRIPTO1 also known as teratocarcinoma-derived growthfactor 1 TDGF1  which is a glycosylphosphatidylinositol-linked cell membrane-anchored protein that belongs tothe EGF-CFC family and is able to reduce sensitivity toEGFR-TKIs through activation of both ZEB1 and SRC thuspromotingepithelial-to-mesenchymaltransition EMT and stimulation of AKT and MEK signalling respectively
../abc\AKT\27843613_page2_48_0.jpg,growth factor HGF also known as the scatter factor  pro-motes the activation of the downstream AKT pathway which is the key signalling pathway for cell proliferation survival and antiapoptosis
../abc\AKT\27843613_page2_48_0.jpg,A knownmechanism is that IGF-1R could be activated by hetero-dimerisation with EGFR after erlotinib treatment49 trans-mittingextracellularsurvivalsignalstodownstreammediators such as AKT and MAPK
../abc\AKT\27843640_page9_211_0.jpg,The two principal downstream effectors ofEGFRactivationaretheretrovirus-associatedDNAsequences RAS  v-RAF 1 murine leukaemia viral onco-genehomologue1 RAF  mitogen-activatedproteinkinase MAPK pathway which regulates cell cycle pro-gression and phospho-inositide-3 kinase PI3K  proteinkinase B AKT pathway which controls antiapoptoticsignal
../abc\AKT\27938382_page1_9_0.jpg,Abbreviations: AKT protein kinase B ALK anaplastic lymphoma kinase CREB3L2 cyclic AMP-responsive element-binding protein 3-like protein 2 EGFR epidermal growth factor receptor EML4 echinoderm microtubule-associated protein-like 4 ERK extracellular signal-regulated kinase FGFR fibroblast growth factor receptor HGF hepatocyte growth factor MCL1 myeloid leukemia cell differentiation protein MEK mitogen-activated protein kinase MET mesenchymal-to-epithelial transition mTOR mammalian target of rapamycin PTEN phosphatase and tensin homologue RAF rapidly accelerated fibrosarcoma kinase RET rearranged during transfection proto-oncogene
../abc\AKT\27938382_page1_9_1.jpg,Abbreviations: AKT protein kinase B ALK anaplastic lymphoma kinase CREB3L2 cyclic AMP-responsive element-binding protein 3-like protein 2 EGFR epidermal growth factor receptor EML4 echinoderm microtubule-associated protein-like 4 ERK extracellular signal-regulated kinase FGFR fibroblast growth factor receptor HGF hepatocyte growth factor MCL1 myeloid leukemia cell differentiation protein MEK mitogen-activated protein kinase MET mesenchymal-to-epithelial transition mTOR mammalian target of rapamycin PTEN phosphatase and tensin homologue RAF rapidly accelerated fibrosarcoma kinase RET rearranged during transfection proto-oncogene
../abc\AKT\27994551_page3_338_0.jpg,Akt SIGNALING AS A TARGET OF TIG
../abc\AKT\27994551_page3_338_0.jpg,Akt also known as protein kinase B PKB  belongs toan evolutionarily conserved serine-protein kinase family andparticipates in cell homeostasis maintenance by regulatingnumerous downstream eﬀectors
../abc\AKT\27994551_page3_338_0.jpg,The Akt family mainly containsthree members Akt1 PKBα  Akt2 PKBβ  and Akt3 PKBγ  which share more than 80% structure homology
../abc\AKT\27994551_page3_338_0.jpg,Sinceits discovery numerous eﬀorts have been made to clarifythe mechanism of Akt activation
../abc\AKT\27994551_page3_338_0.jpg,Studies have indicated thatthe Akt signaling pathway could be activated by receptortyrosine kinases RTKs  including insulin-like growth factor 1receptor IGF-1R  epidermal growth factor receptor EGFR and others Manning and Cantley 2007
../abc\AKT\27994551_page3_338_0.jpg,Then the accumulation of PIP3 activates Akt by phosphorylationmodiﬁcation at two regulatory sites Thr308 and Ser473 Cantley
../abc\AKT\27994551_page3_338_0.jpg,In addition to RTKs Akt activity can be modulatedby lipid and protein phosphatases such as phosphatase andtensin homolog PTEN and protein phosphatase 2A PP2A
../abc\AKT\27994551_page3_338_0.jpg,PTEN is a negative modulator of the Akt signaling pathway and inhibition of PTEN by a small-molecule inhibitor couldsigniﬁcantly activate Akt Shojaee et al
../abc\AKT\27994551_page3_338_0.jpg,Similarly PP2Acan down-regulate Akt activation by directly promoting Thr308dephosphorylation Liu et al
../abc\AKT\27994551_page3_338_0.jpg,Additionally once Akt islocked in the active conﬁrmation it can regulate more than100 down-stream factors that are involved in diverse cellularfunctions including cell proliferation apoptosis metabolism and so on
../abc\AKT\27994551_page3_338_0.jpg,These direct substrates of Akt all share a consensusphosphorylated minimal motif R-X-R-X-X-pS pT Carmonaet al
../abc\AKT\27994551_page3_338_0.jpg,For example AKT phosphorylates glycogen synthasekinase-3β GSK3β at Ser9 and thus inactivates it whichpromotes Erb-B2 receptor tyrosine kinase 2 ErbB2 -mediatedcardiomyocyte proliferation D’Uva et al
../abc\AKT\27994551_page3_338_0.jpg,To date molecular screening of human disease models particularly for cancer has identiﬁed a series of alterations thataﬀect the Akt signaling pathways
../abc\AKT\27994551_page3_338_0.jpg,They found that unlike canonical loss-of-function mutants A126G mutation could produce an enzymatic gain-of-functionin PTEN activating the Akt signaling pathway and promptingcell proliferation in prostate cancer Costa et al
../abc\AKT\27994551_page3_338_0.jpg,Inhibition of Akt has a negative feedback eﬀect on RTKactivation which then enhances Akt activation
../abc\AKT\27994551_page3_338_0.jpg,"Akt inhibitors,AKTi-1 2 and MK-2206 could re-activate RTK signaling in aFOXO-dependent manner attenuating the anti-tumor eﬀects ofthese inhibitors Chandarlapaty et al"
../abc\AKT\27994551_page3_338_0.jpg,Antibiotic TIG has an attractive anti-proliferation eﬀect onneuroblastoma cells by dephosphorylating Akt and its down-stream targets in vitro and in vivo Figure 2
../abc\AKT\27994551_page3_338_0.jpg,FIGURE 2 | Overview of the antibiotic drug TIG on the aberrant Akt signaling for cancer research and therapy
../abc\AKT\27994551_page3_338_0.jpg,In addition it conﬁrmed that the mammalian targetof rapamycin mTOR also serves as a central factor underlyingthe Akt signaling pathway
../abc\AKT\27994551_page3_338_0.jpg,Taken together TIG could act as apowerful candidate for intervening in the Akt signaling pathwayfor cancer therapy
../abc\AKT\27994551_page3_338_1.jpg,Akt SIGNALING AS A TARGET OF TIG
../abc\AKT\27994551_page3_338_1.jpg,Akt also known as protein kinase B PKB  belongs toan evolutionarily conserved serine-protein kinase family andparticipates in cell homeostasis maintenance by regulatingnumerous downstream eﬀectors
../abc\AKT\27994551_page3_338_1.jpg,The Akt family mainly containsthree members Akt1 PKBα  Akt2 PKBβ  and Akt3 PKBγ  which share more than 80% structure homology
../abc\AKT\27994551_page3_338_1.jpg,Sinceits discovery numerous eﬀorts have been made to clarifythe mechanism of Akt activation
../abc\AKT\27994551_page3_338_1.jpg,Studies have indicated thatthe Akt signaling pathway could be activated by receptortyrosine kinases RTKs  including insulin-like growth factor 1receptor IGF-1R  epidermal growth factor receptor EGFR and others Manning and Cantley 2007
../abc\AKT\27994551_page3_338_1.jpg,Then the accumulation of PIP3 activates Akt by phosphorylationmodiﬁcation at two regulatory sites Thr308 and Ser473 Cantley
../abc\AKT\27994551_page3_338_1.jpg,In addition to RTKs Akt activity can be modulatedby lipid and protein phosphatases such as phosphatase andtensin homolog PTEN and protein phosphatase 2A PP2A
../abc\AKT\27994551_page3_338_1.jpg,PTEN is a negative modulator of the Akt signaling pathway and inhibition of PTEN by a small-molecule inhibitor couldsigniﬁcantly activate Akt Shojaee et al
../abc\AKT\27994551_page3_338_1.jpg,Similarly PP2Acan down-regulate Akt activation by directly promoting Thr308dephosphorylation Liu et al
../abc\AKT\27994551_page3_338_1.jpg,Additionally once Akt islocked in the active conﬁrmation it can regulate more than100 down-stream factors that are involved in diverse cellularfunctions including cell proliferation apoptosis metabolism and so on
../abc\AKT\27994551_page3_338_1.jpg,These direct substrates of Akt all share a consensusphosphorylated minimal motif R-X-R-X-X-pS pT Carmonaet al
../abc\AKT\27994551_page3_338_1.jpg,For example AKT phosphorylates glycogen synthasekinase-3β GSK3β at Ser9 and thus inactivates it whichpromotes Erb-B2 receptor tyrosine kinase 2 ErbB2 -mediatedcardiomyocyte proliferation D’Uva et al
../abc\AKT\27994551_page3_338_1.jpg,To date molecular screening of human disease models particularly for cancer has identiﬁed a series of alterations thataﬀect the Akt signaling pathways
../abc\AKT\27994551_page3_338_1.jpg,They found that unlike canonical loss-of-function mutants A126G mutation could produce an enzymatic gain-of-functionin PTEN activating the Akt signaling pathway and promptingcell proliferation in prostate cancer Costa et al
../abc\AKT\27994551_page3_338_1.jpg,Inhibition of Akt has a negative feedback eﬀect on RTKactivation which then enhances Akt activation
../abc\AKT\27994551_page3_338_1.jpg,"Akt inhibitors,AKTi-1 2 and MK-2206 could re-activate RTK signaling in aFOXO-dependent manner attenuating the anti-tumor eﬀects ofthese inhibitors Chandarlapaty et al"
../abc\AKT\27994551_page3_338_1.jpg,Antibiotic TIG has an attractive anti-proliferation eﬀect onneuroblastoma cells by dephosphorylating Akt and its down-stream targets in vitro and in vivo Figure 2
../abc\AKT\27994551_page3_338_1.jpg,FIGURE 2 | Overview of the antibiotic drug TIG on the aberrant Akt signaling for cancer research and therapy
