PMID,sentence,gene
25505733,Activating mutations are signiﬁcantlyassociated with response to EGFR TKIs with erlotinib geﬁ-tinib and afatinib established as initial standard therapy,['EGFR']
25505733,There are multiple agents in development withenhanced afﬁnity for T790M mutant lung cancer that mayspare wild type EGFR potentially avoiding toxicities like rashand diarrhea,['EGFR']
25505733,AZD9291 and CO-1686 are examples of suchagents and have reported responses in 58–64% of patientswith acquired EGFR TKI resistance and documented T790Mmutation 7 8,['EGFR']
25505733,There are other strategies in development tar-geting acquired EGFR TKI resistance including chemotherapywith intercalated EGFR TKI combinations with mesenchymal–epidermal transition MET  dual EGFR and heat shock protein90 HSP90 inhibitors and more,['EGFR']
25505733,For example combination ofafatinib and cetuximab has demonstrated activity in patients withacquired EGFR TKI resistance and T790M positive and nega-tive tumors 9  and the addition of AUY922 to erlotinib hasrestored sensitivity in 22% of patients with acquired resistanceto erlotinib 10,['EGFR']
25505733,A phase I trial of neratinib an irreversible pan-HERinhibitor and temsirolimus mTOR inhibitor suggested bene-ﬁt in ﬁve patients with HER2-mutant NSCLC 19,['MTOR']
25505733,In lung cancer MET mutations are rare but ampliﬁcation isseen in up to 21% resulting in constitutive MET activation and isbelieved to be a potential mechanism of acquired EGFR TKI resis-tance 28 29,['EGFR']
25505733,Crizotinib activity has been reported in MET-ampliﬁedtumors 33  with ongoing studies in EGFR TKI-resistant lungcancer of MET and HGF-targeted agents such as ﬁclatuzumab anti-HGF monoclonal antibody NCT02034981,['EGFR']
25505733,EGFR mutations,['EGFR']
25505733,EGFR TKI acquired,['EGFR']
25505733,BRAF mutation3% smokersDabrafenibPhase I II,['BRAF']
25505733,mTOR activationUp to 90%EverolimusPhase II,['MTOR']
25505733,"n a, not available; EGFR TKI epidermal growth factor receptor tyrosine kinase inhibitor; NTRK neurotrophic tyrosine kinase receptor type; mTOR mammalian tar-","['EGFR', 'MTOR']"
25505733,NTRK1 FUSIONSThese have recently been described in never smokers with adeno-carcinoma that is ALK and EGFR wild type,['EGFR']
25505733,EGFR HER2 to the RAF MEK ERK pathway and others regulat-ing cell growth proliferation and apoptosis 36,"['EGFR', 'ERK', 'MEK']"
25505733,The most promising agents in development for KRAS mutantlung cancer have been MEK inhibitors combined with chemother-apy,['MEK']
25505733,Trametinib another MEK inhibitor showed activity in combi-nation with docetaxel as well as with pemetrexed 42 43,['MEK']
25505733,BRAF a serine-threonine kinase lies downstream of KRAS anddirectly activates MEK by phosphorylation which in turn activatesERK,"['BRAF', 'MEK']"
25505733,BRAF v-Raf murine sarcoma viral oncogene homolog B mutationsandBRAF inhibitorsﬁrstgainedattentioninmelanomawhere 40–60% of tumors harbor activating V600E BRAF muta-tions,['BRAF']
25505733,Dabrafenib a BRAF kinase inhibitor demonstrated a 54% RRin 17 BRAF V600E-mutated NSCLC patients 45,['BRAF']
25505733,Vemurafenib isanother BRAF kinase inhibitor that shown activity in this popu-lation,['BRAF']
25505733,There are ongoing clinical trials assessing BRAF MEK andAKT inhibitors in this population,"['BRAF', 'MEK']"
25505733,PIK3CA encodes the catalytic subunit of PI3K and mutations andampliﬁcation are seen in 2 and 12–17% of NSCLC cases 47 48,['PI3K']
25505733,These mutations can co-exist with other known driver mutationsin lung adenocarcinoma including EGFR and KRAS and in thesetting of acquired EGFR TKI resistance 49 50  suggesting thatthis may not be a driver mutation in itself,['EGFR']
25505733,Trials of PI3K speciﬁckinase inhibitors are ongoing,['PI3K']
25505733,PTEN AKT mTOR,"['AKT', 'MTOR']"
25505733,Loss of PTEN protein expression with subsequent AKT overex-pression occurs in a third of NSCLC cases and is associated withpoor prognosis in lung cancer 51,['AKT']
25505733,AKT activation and mTOR phosphorylation is found in 51% ofNSCLC cases although AKT mutations are rare <1%,"['AKT', 'MTOR']"
25505733,Giventhe high level of activation and “crosstalk” with the RAS–RAF–MEK pathway studies of mTOR and AKT inhibitors are of majorinterest in lung cancer,"['AKT', 'MTOR']"
25505733,Everolimus RAD001  temsirolimus andother mTOR inhibitors are being investigated in combination withother targeted agents including EGFR TKIs although toxicity ofthese agents remains challenging with high rates of fatigue andstomatitis 53 54,"['EGFR', 'MTOR']"
25505733,PI3K can be activated by transmembrane receptor tyrosinekinases like EGFR or RAS through phosphorylation of AKT,"['EGFR', 'PI3K', 'AKT']"
25505733,Activated mTOR complexes mTORC1  downstream of PI3K–AKT result in increased ribosomal protein synthesis and furtherAKT activation mTORC2,['MTOR']
25505733,Despitea negative study with iniparib and chemotherapy veliparib andolaparib are being evaluated in combination with platinum-basedtherapy or EGFR TKI in NSCLC,['EGFR']
25505733,Heat shock protein 90 is a chaperone protein that assists post-translational folding of several proteins to stabilize and protectthem from cellular stresses like heat or hypoxia including criticalproteins in lung cancer such as EGFR HER2 MET ALK and oth-ers,['EGFR']
25505733,HSP90 inhibitors have shown activity in EGFR mutant lungcancer after the development of resistance in ALK-rearrangedtumors and more recently in EGFR wild type adenocarcinomawhen combined with chemotherapy 59,['EGFR']
25505733,Striking therapeutic advances in metastatic NSCLC have beenobserved with targeted agents using molecular selection notablefor patients with EGFR mutant or ALK-rearranged lung can-cer,['EGFR']
25505733,A prospec-tive molecular epidemiology study of EGFR mutations in Asian patients withadvanced non-small-cell lung cancer of adenocarcinoma histology PIONEER,['EGFR']
25505733,Clini-cal activity of the mutant-selective EGFR inhibitor AZD9291 in patients pts with EGFR inhibitor-resistant non-small cell lung cancer NSCLC,['EGFR']
25505733,First-in-human evaluation of CO-1686 an irreversible highly selective tyrosinekinase inhibitor of mutations of EGFR activating and T790M,['EGFR']
25505733,Aphase II study of HSP90 inhibitor AUY922 and erlotinib for patients with EGFR-mutant lung cancer and acquired resistance to EGFR tyrosine kinase inhibitors,['EGFR']
25505733,Roleof KRAS and EGFR as biomarkers of response to erlotinib in National Can-cer Institute of Canada clinical trials group study BR,['EGFR']
25505733,Interimresults of phase II study BRF113928 of dabrafenib in BRAF V600E mutation–positive non-small cell lung cancer NSCLC patients,['BRAF']
25505733,The PI3K pathway as drug targetin human cancer,['PI3K']
25505733,Phosphorylated Akt overexpression andloss of PTEN expression in non-small cell lung cancer confers poor prognosis,['AKT']
25505733,The mTOR pathway in lung cancer and impli-cations for therapy and biomarker analysis,['MTOR']
25557115,Currently clinical trials are being conducted to study the therapeutic effects of MEK and PI3K inhibitors in cancer patients harbor-ing RAS mutations[2],['PI3K']
25557115,For example mutant KRAS with either a glycine to cysteine G12C or glycine to valine G12V muta-tion at codon 12 preferentially binds to RAL guanine nucleo-tide dissociation stimulator RALGDS  a RAL GTPase-specific GEF whereas KRAS harboring a glycine to aspartate mutation at codon 12 G12D has higher affinity for phosphatidylino-sitol 3-kinase PI3K [20],['RAL']
25557115,These recent studies have brought to light the need to clarify the impact of such KRAS mutations on the RAL GTPase signaling pathway,['RAL']
25557115,The RAL GTPase family and effectors,['RAL']
25557115,RAL GTPase falls under the RAS family of GTPases,['RAL']
25557115,RAL shares a high degree of sequence similarity with the three RAS genes hence the name RAL RAS-like [1],['RAL']
25557115,The RAL GTPase sub-family comprises the two isoforms RALA and RALB which share high sequence homology[21],['RAL']
25557115,"RAL GTPase can be activated by six GEFs RALGEFs  RALGDS RGL RGL2 Rlf, RGL3 RALGPS1 and RALGPS2 and inactivated by two GAPs RALGAP1 and RALGAP2[22 23]",['RAL']
25557115,RALGEFs and RAL play a dominant role in the RAS-mediated transformation of several different immor-talized human cell lines as well as in a RAS-driven tumor model[24 25],['RAL']
25557115,RAL proteins mediate various cellular activities including filopodia formation membrane ruffling glycolysis autoph-agy secretion the maintenance of polarity apoptosis and transcription[21 26] Figure 2,['RAL']
25557115,Of all the RAL effectors the most exten-sively studied are RALBP1 and the members of the exocyst complex Sec5 and Exo84[26],"['RALBP1', 'RAL']"
25557115,Other RAL effectors include Fila-min PLD1 and ZONAB[26],['RAL']
25557115,RALBP1 has GAP activity for RAC CDC42 proteins,['RALBP1']
25557115,In this way RALBP1 is important for actin dynamics filopodia formation and membrane ruffling[1 26 27] thereby contributing to cancer cell adhesion invasion and migration,['RALBP1']
25557115,RALBP1 is critical for the migration of bladder and prostate cancer cells which is partly independent of its interaction with RAL[28],['RALBP1']
25557115,RALBP1 is also important for endocytosis including receptor-mediated endocytosis of proteins such as epidermal growth factor receptor insulin receptor and transferrin receptor through its interactions with POB1 Reps1 and AP2[29–31],['RALBP1']
25557115,The involvement of RALBP1 in receptor endocytosis points to the prominence of RAL in signal transduction by these receptors which regulate various cellular processes such as survival and proliferation[32 33],"['RALBP1', 'RAL']"
25557115,RALBP1 has also been identified as a non-ABC transporter that causes resistance to chemothera-peutic drugs[34],['RALBP1']
25557115,RALBP1 is known to cause resistance to anthracycline derivatives such as doxorubicin and glutathione conjugates by increasing their efflux from cells in an ATP-,['RALBP1']
25557115,This transporter activity of RALBP1 helps to protect cancer cells from cytotoxic drugs and cel-lular stress[34],['RALBP1']
25557115,RALBP1 also induces mitochondrial fission by promoting the phosphorylation of the GTPase DRP1 by CyclinB CDK1 and facilitating the recruitment of DRP1 to mitochondrial membranes[37],['RALBP1']
25557115,The absence of RALA-depen-dent RALBP1 activation leads to the improper segregation of mitochondria to daughter cells during cell division result-ing in improper cellular metabolic activity including cellular ATP production which assists cell growth[37],['RALBP1']
25557115,RALBP1 is also known to promote invadopodia formation upon activation by RALB[38],['RALBP1']
25557115,RALBP1 ATPase function is required for invadopodia forma-tion[38],['RALBP1']
25557115,RAL also interacts with ZONAB to regulate cellular tran-scription which gives rise to cellular proliferative signaling[48],['RAL']
25557115,PLD1 is another important effector of RAL GTPase; PLD1 plays a role in membrane trafficking and as a signaling molecule[50],['RAL']
25557115,RAL in cancer,['RAL']
25557115,RAL effectors and their functions,['RAL']
25557115,Upon activation RAL GTPase regulates numerous biological processes through its effectors,['RAL']
25557115,Abnormal regulation of these biological processes by activated RAL leads to protumorigenic biological outcomes,['RAL']
25557115,The various dotted lines show the cellular processes regulated by each RAL effector and the corresponding biological outcomes,['RAL']
25557115,Increased expression and activation of the RAL isoforms are observed in various tumor types compared with normal tis-sues as well as in high-stage and high-grade tumors signify-ing their importance in tumorigenesis[55–59],['RAL']
25557115,In most cancer models RALA has been established as the dominant RAL isoform and the main driver of tumor progression and metas-tasis,['RAL']
25557115,However the RAL effectors responsible for melanoma tumor growth have not been stud-ied[59],['RAL']
25557115,RALBP1 was established as the primary RALA effector in A549 cells[60],['RALBP1']
25557115,Our lab used a panel of 14 NSCLC cell lines and showed that RALA and RALB had redundant functions in NSCLC tumor growth and that RALBP1 is the pri-mary effector driving this phenotype[55],['RALBP1']
25557115,Our lab further devel-oped the first known RAL inhibitors and showed that these small molecule drugs inhibited the growth of NSCLC cell lines in vitro and in vivo by limiting the binding of RALBP1 to both RALA and RALB[61],"['RALBP1', 'RAL']"
25557115,RALA and RALB have also been shown to provide protection against ionizing radiation via the effectors RALBP1 and Sec5 in pan-creatic cancer cell lines[63],['RALBP1']
25557115,Both RAL isoforms have important functions in the growth and metastasis of bladder cancer[28 64 65],['RAL']
25557115,RALBP1 has been identified as the main RAL effector in the majority of these tumors,"['RALBP1', 'RAL']"
25557115,RAL-driven colorec-tal cancer growth has been attributed to RALBP1 Sec5 and Exo84[66],['RALBP1']
25557115,Sec5 and Exo84 have been identified as important RAL effectors in squamous cell carcinoma of the skin[68],['RAL']
25557115,A tran-scriptional signature was recently developed to report cellular RAL activity levels [74],['RAL']
25557115,This RAL signature was predictive,['RAL']
25557115,of cancer patient outcomes indicating for the first time that the genes and pathways regulated by RAL are important for tumor formation and progression in cancer patients [74],['RAL']
25557115,Dependency of RAL activity on RAS mutation,['RAL']
25557115,Interestingly it was observed that NSCLC cell lines carrying the KRAS G12C or G12V muta-tion have higher RAL GTPase activities and lower PI3K AKT or RAF-MEK-ERK pathway activation compared with cell lines carrying other KRAS mutations Figure 3 or wild-type KRAS[20],"['AKT', 'RAL', 'PI3K']"
25557115,It is known that KRAS homodimer formation is important for RAL GTPase activation via RALGDS binding to KRAS[75],['RAL']
25557115,Ihle et al used extensive molecular modeling to show that in case of the KRAS G12C mutation the smaller cysteine residue allows for KRAS homodimer formation RALGDS binding and subsequent RAL activation[20],['RAL']
25557115,Another common KRAS mutation at codon 12 the glycine to aspar-tate G12D mutation was shown to predominantly activate the PI3K AKT pathway[20] Figure 3,"['AKT', 'PI3K']"
25557115,Aspartate is a bulkier amino acid than glycine G12D mutation prevents KRAS homodimer formation via steric hindrance; thus RAL activa-tion is prevented[20],['RAL']
25557115,Since KRAS directly binds to PI3K this pathway can be activated irrespective of KRAS dimer forma-tion[20],['PI3K']
25557115,Since RAL membrane expression is associated with RAL activity we can speculate that patients with KRAS mutations have high RAL activity[55],['RAL']
25557115,The authors showed that there was no difference in RAL expression between patients harboring KRAS transition muta-tions including G12D compared to patients carrying KRAS transversion mutations such as G12C and G12V[76],['RAL']
25557115,Similarly AKT was also not differentially expressed between patients carrying KRAS transition and transversion mutations[76],['AKT']
25557115,Using in vitro and in vivo functional assays our lab estab-lished that both RAL isoforms are required for the growth of NSCLC cells carrying the KRAS G12C mutation compared with cells carrying other KRAS mutations and wild-type KRAS[55],['RAL']
25557115,NSCLC cell lines that are wild-type for KRAS or that carry other mutations showed moderate to no inhibition in anchorage-dependent and anchorage-independent growth assays upon the loss of the RAL GTPases[55],['RAL']
25557115,Our study also showed that overexpres-sion of the KRAS G12C mutant in the KRAS-wild-type cell line H2228 increased the activation of RAL and the depen-dency of the cells on RAL GTPases for anchorage-independent growth[55],['RAL']
25557115,Thus we used detailed functional analysis to vali-date that the KRAS G12C mutation indeed drives tumorigene-sis predominantly via RAL GTPases,['RAL']
25557115,Since KRAS G12C and G12V are the most common RAS muta-tions found in NSCLC these studies point to the importance of RAL in driving tumor growth downstream of KRAS in NSCLC,['RAL']
25557115,In pancreatic cancers RAL GTPase was shown to be required for in vivo metastatic growth of tumors driven by the KRAS G12V mutation[54] pointing to the depen-dency of these cancers that carry this specific KRAS mutations on the RAL pathway,['RAL']
25557115,However the role of RAL in colorectal cancer with respect to different KRAS muta-tions is unclear[66],['RAL']
25557115,Higher RAL GTPase activation was also observed in bladder cancer cell lines carrying the G12V HRAS mutation compared with cell lines that either are wild-type for RAS or carry other RAS mutations[56],['RAL']
25557115,Bladder cancers have a low to medium RAS mutation frequency but 60% of the total RAS either KRAS or HRAS mutations present are G12V mutations pointing to a potential dependence on the RAL signaling pathway in the majority of RAS-mutant tumors[13],['RAL']
25557115,Based on the currently available information in NSCLC the dependency of pancreatic colorectal and bladder tumors car-rying specific RAS mutations on RAL or other downstream pathways requires investigation,['RAL']
25557115,Drugs against the PI3K AKT and RAF-MEK-ERK pathways are used for the treatment of patients carrying RAS mutations,"['AKT', 'PI3K']"
25557115,RAL GTPase has not been explored as a treatment target for cancer patients harboring RAS mutations,['RAL']
25557115,The only reason for this is the lack of RAL GTPase inhibitors,['RAL']
