image,sentence
31527477_page7_566_53.jpg,EGFR-RAF MEK extracellular signal-regulated kinases ERK signaling can activate autophagy by increasing serine phosphorylation of Beclin1
31527477_page7_566_51.jpg,A Upon binding of EGF EGFR activates JAK2 which in turn leads to the activation of STAT3
31527477_page7_566_51.jpg,A Upon binding of EGF EGFR activates JAK2 which in turn leads to the activation of STAT3
33121202_page4_150_43.jpg,"VEGF-A the chief proangiogenic entity activates PI3K Akt, ERK1 2 and JAK2 STAT3"
33121202_page4_150_43.jpg,"VEGF-A the chief proangiogenic entity activates PI3K Akt, ERK1 2 and JAK2 STAT3"
33121202_page4_150_43.jpg,underlined the importance of the JAK2 STAT3 pathway intumor angiogenesis by upregulating VEGF and FGF2 expression in lung cancer cells
33121202_page4_150_43.jpg,and a JAK2 STAT3 positive association with NSCLC stage and overall survival OS [39]
33121202_page4_150_43.jpg,Additionally the JAK2 STAT3 pathway is involved in the FGF2-dependent angiogenic modulation and MMPsecretion [39]
33121202_page4_150_43.jpg,"The majority of hypoxia-derived eﬀects are orchestrated by HIF-1 the hypoxic master regulator;HIF-1 through HIF-1α and HIF-2α binds to the hypoxia responsive element HRE located in thepromoter region of the chief proangiogenic factor VEGF [9] activating the downstream PI3K Akt,ERK1 2 and JAK2 STAT3 pathways and promoting angiogenesis [37 39]"
33121202_page4_150_43.jpg,showed that miR-210 was able to increase theexpression of FGF2 VEGFA and MMP9 byactivating JAK2 STAT3 and TET2 pathways
33121202_page4_150_43.jpg,miR-204▼ TCGAanalysis [109]—in vitro in vivoPredicted: JAK2 STAT3
33121202_page4_150_43.jpg,JAK2 STAT3 signaling pathwayactivation mediates tumor angiogenesis by upregulation of VEGF and bFGF in non-small-cell lung cancer
33121202_page4_150_43.jpg,miR-210 transferred by lung cancer cell-derived exosomes may actas proangiogenic factor in cancer-associated ﬁbroblasts by modulating JAK2 STAT3 pathway
33121202_page4_150_56.jpg,"VEGF-A the chief proangiogenic entity activates PI3K Akt, ERK1 2 and JAK2 STAT3"
33121202_page4_150_56.jpg,"VEGF-A the chief proangiogenic entity activates PI3K Akt, ERK1 2 and JAK2 STAT3"
33121202_page4_150_56.jpg,underlined the importance of the JAK2 STAT3 pathway intumor angiogenesis by upregulating VEGF and FGF2 expression in lung cancer cells
33121202_page4_150_56.jpg,and a JAK2 STAT3 positive association with NSCLC stage and overall survival OS [39]
33121202_page4_150_56.jpg,Additionally the JAK2 STAT3 pathway is involved in the FGF2-dependent angiogenic modulation and MMPsecretion [39]
33121202_page4_150_56.jpg,"The majority of hypoxia-derived eﬀects are orchestrated by HIF-1 the hypoxic master regulator;HIF-1 through HIF-1α and HIF-2α binds to the hypoxia responsive element HRE located in thepromoter region of the chief proangiogenic factor VEGF [9] activating the downstream PI3K Akt,ERK1 2 and JAK2 STAT3 pathways and promoting angiogenesis [37 39]"
33121202_page4_150_56.jpg,showed that miR-210 was able to increase theexpression of FGF2 VEGFA and MMP9 byactivating JAK2 STAT3 and TET2 pathways
33121202_page4_150_56.jpg,miR-204▼ TCGAanalysis [109]—in vitro in vivoPredicted: JAK2 STAT3
33121202_page4_150_56.jpg,JAK2 STAT3 signaling pathwayactivation mediates tumor angiogenesis by upregulation of VEGF and bFGF in non-small-cell lung cancer
33121202_page4_150_56.jpg,miR-210 transferred by lung cancer cell-derived exosomes may actas proangiogenic factor in cancer-associated ﬁbroblasts by modulating JAK2 STAT3 pathway
33121202_page4_150_60.jpg,"VEGF-A the chief proangiogenic entity activates PI3K Akt, ERK1 2 and JAK2 STAT3"
33121202_page4_150_60.jpg,"VEGF-A the chief proangiogenic entity activates PI3K Akt, ERK1 2 and JAK2 STAT3"
33121202_page4_150_60.jpg,underlined the importance of the JAK2 STAT3 pathway intumor angiogenesis by upregulating VEGF and FGF2 expression in lung cancer cells
33121202_page4_150_60.jpg,and a JAK2 STAT3 positive association with NSCLC stage and overall survival OS [39]
33121202_page4_150_60.jpg,Additionally the JAK2 STAT3 pathway is involved in the FGF2-dependent angiogenic modulation and MMPsecretion [39]
33121202_page4_150_60.jpg,"The majority of hypoxia-derived eﬀects are orchestrated by HIF-1 the hypoxic master regulator;HIF-1 through HIF-1α and HIF-2α binds to the hypoxia responsive element HRE located in thepromoter region of the chief proangiogenic factor VEGF [9] activating the downstream PI3K Akt,ERK1 2 and JAK2 STAT3 pathways and promoting angiogenesis [37 39]"
33121202_page4_150_60.jpg,showed that miR-210 was able to increase theexpression of FGF2 VEGFA and MMP9 byactivating JAK2 STAT3 and TET2 pathways
33121202_page4_150_60.jpg,miR-204▼ TCGAanalysis [109]—in vitro in vivoPredicted: JAK2 STAT3
33121202_page4_150_60.jpg,JAK2 STAT3 signaling pathwayactivation mediates tumor angiogenesis by upregulation of VEGF and bFGF in non-small-cell lung cancer
33121202_page4_150_60.jpg,miR-210 transferred by lung cancer cell-derived exosomes may actas proangiogenic factor in cancer-associated ﬁbroblasts by modulating JAK2 STAT3 pathway
